strategy,t,ndcg_m,ndcg_s,rd_m,rd_s,lss_m,lss_s,ptkr_m,conv_m,sigma_m
LCB,0,0.9929229409460449,0.005877243667432511,0.0,0.0,1.0,0.0,0.0,0.9508333333333333,0.0479157423749955
LCB,1,0.9929229409460449,0.005877243667432511,0.0,0.0,1.0,0.0,0.0,0.9508333333333333,0.045880494279694636
LCB,2,0.9931031019934704,0.00583684384877587,0.00012500000000000003,0.0005590169943749476,1.0,0.0,0.0,0.9508333333333333,0.04337675403988671
LCB,3,0.9939004581295448,0.005266738114352718,0.002375,0.003390679950439998,1.0,0.0,0.0,0.9508333333333333,0.041636393687668034
LCB,4,0.994937095399926,0.004184267354301107,0.007666666666666667,0.00725778468931748,1.0,0.0,0.0,0.9508333333333333,0.03960978267246971
LCB,5,0.9951444772784148,0.004533999348873335,0.010166666666666668,0.008212278640416206,1.0,0.0,0.0,0.9516666666666665,0.038022628088425325
LCB,6,0.9956001522111334,0.0038321672597709773,0.012541666666666668,0.011995597998642221,1.0,0.0,0.0,0.9558333333333333,0.03624915133608291
LCB,7,0.9960614223672893,0.0036383961911858704,0.016125,0.010713831444003886,1.0,0.0,0.0,0.9591666666666667,0.03499183867065749
LCB,8,0.9962705058791895,0.003167157436629123,0.017041666666666667,0.01287443577370395,1.0,0.0,0.0,0.9608333333333332,0.03355968186809533
LCB,9,0.9966092213930485,0.0028148221869526003,0.021124999999999998,0.015150982347091274,1.0,0.0,0.0,0.9650000000000001,0.03242256114344655
LCB,10,0.9967914835249457,0.0030219674529593944,0.020916666666666667,0.012527455228534006,1.0,0.0,0.0,0.9666666666666666,0.03116216106386453
LCB,11,0.9968037971953526,0.0028745827798380523,0.021416666666666667,0.014265906275850301,1.0,0.0,0.0,0.9674999999999999,0.030038457074598346
LCB,12,0.9976711927683978,0.002509450009093603,0.02633333333333333,0.015810001276118774,1.0,0.0,0.0,0.9708333333333334,0.029160314257579367
LCB,13,0.9976502065454552,0.002457951232313828,0.024916666666666663,0.015087222044029439,1.0,0.0,0.0,0.9708333333333334,0.028102446236238105
LCB,14,0.9979281349244264,0.0021584673547469075,0.028333333333333332,0.01650580263022178,1.0,0.0,0.0,0.9724999999999999,0.02732516519334451
LCB,15,0.9978599688326533,0.0021081757994182333,0.02729166666666667,0.018037637307838375,1.0,0.0,0.0,0.9741666666666667,0.026408883989611043
LCB,16,0.997889581046603,0.0021159897243805707,0.026416666666666665,0.016819692232131526,1.0,0.0,0.0,0.9733333333333333,0.025561176238179252
LCB,17,0.9980142320601761,0.002077991039655644,0.0295,0.01833612418948993,1.0,0.0,0.0,0.9783333333333333,0.024963645906518627
LCB,18,0.9981895116022109,0.0018094311732390893,0.03,0.01879210671675215,1.0,0.0,0.0,0.9800000000000001,0.024284889358262198
LCB,19,0.9983152491223498,0.0013477811635367906,0.029583333333333333,0.019978972864618097,1.0,0.0,0.0,0.9775,0.023530105077557602
LCB,20,0.998408891435064,0.0015226284282208466,0.030125000000000002,0.01965394139303111,1.0,0.0,0.0,0.9741666666666667,0.022970893819893826
Naive,0,0.9915904940672642,0.008759368579290425,0.01,0.034792618696922975,1.0,0.0,0.0,0.0,0.0479157423749955
Naive,1,0.9941469035305073,0.006365284238051624,0.022208333333333333,0.030667852522838518,1.0,0.0,0.0,0.005833333333333334,0.04580518521317661
Naive,2,0.9956734304189837,0.004560191308399723,0.022583333333333334,0.019100572539717996,1.0,0.0,0.0,0.015,0.043773422493068564
Naive,3,0.9959891277690902,0.0044378239382060645,0.025750000000000002,0.020485517634381074,1.0,0.0,0.0,0.023333333333333334,0.04170071264363746
Naive,4,0.9965504425359377,0.0037303491249887823,0.024541666666666666,0.019633846760033838,1.0,0.0,0.0,0.02,0.039609527583006336
Naive,5,0.9969167942074273,0.003353635382486825,0.03045833333333333,0.023005966363187042,1.0,0.0,0.0,0.03166666666666666,0.03809181013252357
Naive,6,0.9975285108894013,0.002515131032173963,0.03654166666666667,0.02582310918220843,1.0,0.0,0.0,0.08833333333333335,0.03679847395561094
Naive,7,0.9975522352745759,0.002608601952101241,0.03329166666666667,0.023026610273806133,1.0,0.0,0.0,0.08249999999999999,0.0350897937552308
Naive,8,0.9981048878471765,0.0013458456444040362,0.034125,0.02595750435160789,1.0,0.0,0.0,0.08333333333333334,0.033671472403171976
Naive,9,0.9982061447653685,0.0012411132093694485,0.035250000000000004,0.02731142146959873,1.0,0.0,0.0,0.13416666666666666,0.032464404289271095
Naive,10,0.9984737254385045,0.001241894590651696,0.0375,0.027034199696243537,1.0,0.0,0.0,0.1375,0.031294735072968115
Naive,11,0.9985532587450751,0.0010378527919141438,0.03816666666666667,0.02682464172190883,1.0,0.0,0.0008333333333333333,0.13583333333333333,0.030283576544754925
Naive,12,0.9989728863596937,0.0007950824853448612,0.03925,0.02565359088210067,1.0,0.0,0.0,0.14166666666666666,0.029273525828344756
Naive,13,0.9990347048127362,0.0008233866412882582,0.03929166666666667,0.026430249980563703,1.0,0.0,0.0,0.1375,0.02828247711980734
Naive,14,0.9990072514620646,0.0007207403751502342,0.040625,0.02744994780510382,1.0,0.0,0.0016666666666666666,0.1875,0.027441152825895126
Naive,15,0.9990769661300186,0.0005746344757649086,0.04125,0.027519928982976505,1.0,0.0,0.0,0.19,0.026636266692559786
Naive,16,0.9990566768147764,0.0006680597927162357,0.04025,0.027669070916460443,1.0,0.0,0.0008333333333333333,0.27999999999999997,0.02575388237133739
Naive,17,0.9990943534090378,0.0006036949018977272,0.03979166666666667,0.028025775260416406,1.0,0.0,0.0,0.2808333333333333,0.02503742929739646
