t,strategy,ndcg,rd,lss,ptkr,conv,sigma,run
0,Naive,0.9996870612354845,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,0
1,Naive,0.9996870612354845,0.0,0.9999999999999999,0.0,0.0,0.04487637339278756,0
2,Naive,0.9999890131031127,0.006666666666666667,0.9999999999999999,0.0,0.016666666666666666,0.04267432973251961,0
3,Naive,0.999983091922249,0.005833333333333333,0.9999999999999999,0.0,0.016666666666666666,0.040274219572753886,0
4,Naive,0.9996870612354845,0.0,0.9999999999999999,0.0,0.0,0.03770116069657199,0
5,Naive,1.0,0.009166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.03664149553506108,0
6,Naive,0.9999890131031127,0.006666666666666667,0.9999999999999999,0.0,0.016666666666666666,0.034704249301049685,0
7,Naive,0.9999890131031127,0.006666666666666667,0.9999999999999999,0.0,0.016666666666666666,0.033112592476863795,0
8,Naive,0.9996870612354845,0.0,0.9999999999999999,0.0,0.0,0.031075464809320927,0
9,Naive,0.9999890131031127,0.006666666666666667,0.9999999999999999,0.0,0.016666666666666666,0.03033032254280327,0
10,Naive,0.9999579457573198,0.0016666666666666668,0.9999999999999999,0.0,0.0,0.028896011907103045,0
11,Naive,1.0,0.009166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.028254410582278296,0
12,Naive,0.9999932842177502,0.007500000000000001,0.9999999999999999,0.0,0.016666666666666666,0.02708442122621812,0
13,Naive,1.0,0.009166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.02622718198454875,0
14,Naive,0.999983091922249,0.005833333333333333,0.9999999999999999,0.0,0.016666666666666666,0.02506469417570245,0
15,Naive,0.999983091922249,0.005833333333333333,0.9999999999999999,0.0,0.016666666666666666,0.0242235574867874,0
16,Naive,0.9999890131031127,0.006666666666666667,0.9999999999999999,0.0,0.016666666666666666,0.02357064945744452,0
17,Naive,0.9996870612354845,0.0,0.9999999999999999,0.0,0.0,0.022529945824471615,0
18,Naive,1.0,0.009166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.02232379906505769,0
19,Naive,0.9999932842177502,0.007500000000000001,0.9999999999999999,0.0,0.016666666666666666,0.021581222168557013,0
20,Naive,1.0,0.009166666666666667,0.9999999999999999,0.0,0.016666666666666666,0.021044994760351043,0
0,LCB,0.9812269568628997,0.0,0.9999999999999999,0.0,0.8833333333333333,0.0479157423749955,0
1,LCB,0.9812269568628997,0.0,0.9999999999999999,0.0,0.8833333333333333,0.04738667561005526,0
2,LCB,0.9812269568628997,0.0,0.9999999999999999,0.0,0.8833333333333333,0.045917332491823205,0
3,LCB,0.9828977635740406,0.0033333333333333335,0.9999999999999999,0.0,0.8833333333333333,0.044005535707575635,0
4,LCB,0.9864024397365488,0.016666666666666666,0.9999999999999999,0.0,0.8833333333333333,0.043076458231541465,0
5,LCB,0.9864513945306771,0.0175,0.9999999999999999,0.0,0.8833333333333333,0.04089755227094163,0
6,LCB,0.9862937478690692,0.0125,0.9999999999999999,0.0,0.8833333333333333,0.039552193550944255,0
7,LCB,0.9888598440850132,0.034166666666666665,0.9999999999999999,0.0,0.8833333333333333,0.03829688495513255,0
8,LCB,0.9871235184286565,0.030000000000000002,0.9999999999999999,0.0,0.9,0.03719874068908984,0
9,LCB,0.9896798633846118,0.050833333333333335,0.9999999999999999,0.0,0.9166666666666666,0.0366506354696574,0
10,LCB,0.9874261677398478,0.035,0.9999999999999999,0.0,0.9,0.03477919289419196,0
11,LCB,0.9890611628797797,0.04666666666666666,0.9999999999999999,0.0,0.9166666666666666,0.033798971291567594,0
12,LCB,0.9918802282551233,0.06583333333333334,0.9999999999999999,0.0,0.9,0.03381094009298402,0
13,LCB,0.9917859448699263,0.05166666666666666,0.9999999999999999,0.0,0.9166666666666666,0.03184723166711892,0
14,LCB,0.9918420060250163,0.06333333333333332,0.9999999999999999,0.0,0.9,0.03147752155109361,0
15,LCB,0.9929582497008698,0.0575,0.9999999999999999,0.0,0.9166666666666666,0.030148848807382007,0
16,LCB,0.9936867261266047,0.06333333333333332,0.9999999999999999,0.0,0.9166666666666666,0.029693150507182672,0
17,LCB,0.9939949597104428,0.06833333333333334,0.9999999999999999,0.0,0.9333333333333333,0.028857469329494765,0
18,LCB,0.9940413549240048,0.06916666666666665,0.9999999999999999,0.0,0.9333333333333333,0.028361246087655625,0
19,LCB,0.9946647152499353,0.06749999999999999,0.9999999999999999,0.0,0.9333333333333333,0.027395374131549386,0
20,LCB,0.9936743280150002,0.06916666666666667,0.9999999999999999,0.0,0.9,0.02697067837276761,0
0,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,0
1,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.046884615166601716,0
2,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.04496749863890894,0
3,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.04312821630571192,0
4,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.042123718107356274,0
5,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.04041927078968533,0
6,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.03894594392797065,0
7,Tiered,0.98059534021315,0.0,0.9999999999999999,0.0,0.0,0.038287546086741765,0
8,Tiered,0.9870776474354362,0.03166666666666666,0.9999999999999999,0.0,0.9166666666666666,0.03605041241048744,0
9,Tiered,0.9877327680550091,0.045000000000000005,0.9999999999999999,0.0,0.9166666666666666,0.03524936117473101,0
10,Tiered,0.9884271295916272,0.043333333333333335,0.9999999999999999,0.0,0.9333333333333333,0.03431629369017792,0
11,Tiered,0.9906527003791675,0.04916666666666667,0.9999999999999999,0.0,0.9333333333333333,0.03325144163330836,0
12,Tiered,0.9917823474272548,0.04416666666666667,0.9999999999999999,0.0,0.9166666666666666,0.031752165462379654,0
13,Tiered,0.9927842132053402,0.057499999999999996,0.9999999999999999,0.0,0.9166666666666666,0.03127625379686007,0
14,Tiered,0.9922630093235908,0.05416666666666667,0.9999999999999999,0.0,0.9333333333333333,0.03010795827656806,0
15,Tiered,0.9931602038533858,0.06333333333333332,0.9999999999999999,0.0,0.9333333333333333,0.02967731812695081,0
16,Tiered,0.9930280928928331,0.059166666666666666,0.9999999999999999,0.0,0.9333333333333333,0.028753718190018464,0
17,Tiered,0.9934517322688527,0.07166666666666667,0.9999999999999999,0.0,0.9166666666666666,0.0282503327637486,0
18,Tiered,0.9931866624497332,0.0625,0.9999999999999999,0.0,0.95,0.027119090924599434,0
19,Tiered,0.9941477129437712,0.06416666666666666,0.9999999999999999,0.0,0.95,0.026578006237184166,0
20,Tiered,0.9932864182052958,0.06749999999999999,0.9999999999999999,0.0,0.95,0.026104202403771478,0
0,Random,0.9927328628136143,0.043333333333333335,0.9999999999999999,0.0,0.06666666666666667,0.0479157423749955,0
1,Random,0.9924998338672271,0.06333333333333332,0.9999999999999999,0.0,0.05,0.04537843383624109,0
2,Random,0.9914846596396624,0.049166666666666664,0.9999999999999999,0.0,0.08333333333333333,0.042963802441525596,0
3,Random,0.9899848888499958,0.12833333333333333,0.9999999999999999,0.0,0.06666666666666667,0.04074840587979945,0
4,Random,0.9937804826954277,0.03333333333333333,0.9999999999999999,0.0,0.05,0.03872847346462709,0
5,Random,0.9896831874917943,0.07416666666666667,0.9999999999999999,0.0,0.11666666666666667,0.036886949901376614,0
6,Random,0.9930523324249968,0.065,0.9999999999999999,0.0,0.1,0.035204899099911084,0
7,Random,0.9849775898099757,0.11666666666666667,0.9999999999999999,0.0,0.1,0.03366447279259913,0
8,Random,0.99006983609519,0.06083333333333333,0.9999999999999999,0.0,0.11666666666666667,0.03224968899163696,0
9,Random,0.988472458848306,0.08916666666666667,0.9999999999999999,0.0,0.05,0.030946517295014034,0
10,Random,0.992878620190062,0.03916666666666667,0.9999999999999999,0.0,0.03333333333333333,0.029742734946058537,0
11,Random,0.9881770594229534,0.09416666666666666,0.9999999999999999,0.0,0.05,0.028627717572065437,0
12,Random,0.9917637371340126,0.07166666666666667,0.9999999999999999,0.0,0.08333333333333333,0.027592225631564316,0
