run,strategy,t,ndcg,rd,lss,ptkr,conv,sigma
0,Naive,0,0.9991098612145042,0.0,1.0,0.0,0.0,0.29999999999999993
0,Naive,1,0.9984067660899273,0.29,1.0,0.3,0.45,0.0948683298050514
0,Naive,2,0.9968305803113762,0.40499999999999997,1.0,0.0,0.25,0.06882472016116851
0,Naive,3,0.9988432555993008,0.175,1.0,0.0,0.35,0.056694670951384085
0,Naive,4,0.9993094256781587,0.26999999999999996,1.0,0.0,0.5,0.049319696191607185
0,Naive,5,0.9988339397682129,0.29500000000000004,1.0,0.0,0.65,0.04423258684646915
0,Naive,6,0.9996182345644685,0.32,1.0,0.0,0.55,0.040451991747794534
0,Naive,7,0.9993449292409501,0.23499999999999996,1.0,0.0,0.5,0.0375
0,Naive,8,0.9989550221450522,0.24,1.0,0.0,0.7,0.03511234415883917
0,Naive,9,0.9996613365385418,0.195,1.0,0.0,0.5,0.03312945782245395
0,Naive,10,0.9995944581763361,0.16,1.0,0.0,0.45,0.031448545101657545
0,Naive,11,0.9994913122061119,0.145,1.0,0.0,0.45,0.030000000000000006
0,Naive,12,0.9995900863357627,0.27999999999999997,1.0,0.0,0.65,0.028734788556634548
0,Naive,13,0.9996267402092478,0.25999999999999995,1.0,0.0,0.75,0.027617238536949706
0,Naive,14,0.9997357931750127,0.26,1.0,0.0,0.75,0.026620695282483415
0,Naive,15,0.9995727776072896,0.18,1.0,0.0,0.65,0.02572478777137633
0,Naive,16,0.999490349960855,0.18,1.0,0.0,0.85,0.024913643956121993
0,Naive,17,0.9993837675071753,0.24,1.0,0.0,0.8,0.02417468892076141
0,Naive,18,0.9997278094967215,0.195,1.0,0.0,0.65,0.023497813499638733
0,Naive,19,0.9997214281067468,0.21000000000000002,1.0,0.0,0.8,0.022874785549890704
0,Naive,20,0.9998628847866777,0.2,1.0,0.0,0.8,0.02229882438741499
0,Naive,21,0.9996007827836456,0.24000000000000005,1.0,0.0,0.85,0.021764287503300346
0,Naive,22,0.999719228880816,0.23500000000000001,1.0,0.0,0.85,0.021266436150250083
0,Naive,23,0.9999465483577478,0.215,1.0,0.0,0.85,0.02080125735844609
0,Naive,24,0.9998356493569117,0.215,1.0,0.0,0.9,0.020365326999063918
0,Naive,25,0.9998739507215715,0.24000000000000005,1.0,0.0,0.8,0.01995570315713218
0,Naive,26,0.9996869731711613,0.11000000000000001,1.0,0.0,0.75,0.019569842191603272
0,Naive,27,0.9998456850289733,0.255,1.0,0.0,0.95,0.0192055319899344
0,Naive,28,0.9998994033674398,0.19,1.0,0.0,0.9,0.018860838403857945
0,Naive,29,0.9995958543342759,0.175,1.0,0.0,0.7,0.018534061896456462
0,Naive,30,0.9997705663499165,0.145,1.0,0.0,0.95,0.01822370217692361
0,Naive,31,0.9999614007902574,0.23000000000000004,1.0,0.0,0.95,0.017928429140015904
0,Naive,32,0.9998380511807436,0.24000000000000005,1.0,0.0,0.85,0.01764705882352941
0,Naive,33,0.999859931942019,0.19,1.0,0.0,0.85,0.017378533390904772
